A-segment,B-segment,C-segment,D-segment,E-segment,F-segment,SUV(A),SUV(B),SUV(C),SUV(D/E),SUV(F)
Smart ForFour,Audi A2,Mercedes-Benz A-class,Mercedes-Benz C-class,Mercedes-Benz E class,Mercedes-Benz S class,Toyota Aygo X,Mercedes-Benz GLA class,Mercedes-Benz GLC class,Mercedes-Benz GLE class,Mercedes-Benz GLS class
Audi A1,Volkswagen Polo,Audi A3,Audi A4,Porsche Taycan,Bentley Flying Spur,Suzuki Ignis,Audi Q2,Porsche Macan,Porsche Cayenne,Bentley Bentayga
Volkswagen up!,Skoda Fabia,BMW 1 series,BMW 3 series,Audi A6,Porsche Panamera,Fiat Panda Cross,Bmw X1,Audi Q3,Audi Q5,Porsche Cayenne
Skoda citigo,SEAT Ibiza,Volkswagen Golf,Volkswagen Passat,BMW 5 series,Audi A8,,Volkswagen T-cross,BMW X1,BMW X3,Audi Q7
Toyota Aygo,Mazda 2,Skoda Octavia,Skoda Superb,Maserati Ghibli,Rolls-Royce Ghost,,Skoda Kamiq,Volkswagen Tiguan,Volkswagen Touareg,Rolls-Royce Cullinan
Peugeot 108,Toyota Yaris,SEAT Leon,Mazda 6,Lexus ES,BMW 7 series,,SEAT Arona,Volkswagen T-roc,Skoda Kodiaq,BMW X7
Fiat 500,Peugeot 208,Mazda 3,Toyota Camry,Jaguar XF,Maserati Quattroporte,,Mazda CX-30,Skoda Karoq,SEAT Tarraco,Land Rover Range Rover
Kia Picanto,Kia Rio,Toyota Corolla,Volvo S60,Infiniti Q70,Lexus LS,,Mazda CX-3,SEAT Ateca,Maserati Levante,Toyota Sequoia
Hyundai i10,Renault Clio,Renault Megane,Peugeot 508,Volvo S90,Jaguar XJ,,Toyota Yaris Cross,Maserati Grecale,Mazda CX-60,Cadillac Escalade
Renault Twingo,Dacia Sandero,Dacia Logan,Renault Talisman,Tesla Model S,Genesis G90,,Renault Captur,Mazda CX-5,Volvo XC90,Lexus LX
